Model,CPU,CPU specifications,GPU,Storage capacity,Removable storage,RAM,OS,Custom launcher,Dimensions,Weight,Battery,Recharge power,Display,Camera,Fingerprint scanner,Facial recognition
Vivo X23  (Colorful Edition),Snapdragon 660,Octa-core 1.95 GHz,Adreno 512,128 GB,No,6 GB,Android 8.1 "Oreo",Funtouch  OS 4.5,157.6 x 75.4 x 7.1 mm,162g,3500mAh,microUSB 2.0,6.41" 2340x1080 AMOLED,Dual 12 MP + 13 MP (rear camera) 24.8 MP (front camera),Under screen,Yes
Vivo X23,Snapdragon 670,Octa-core (2x2.0 GHz Kryo 460 Gold – Cortex-A76 derivative + 6x1.7 GHz Kryo 460 Silver – Cortex-A55 derivative),Adreno 615,128 GB,No,8 GB,Android 8.1 "Oreo",Funtouch  OS 4.5,157.6 x 75.4 x 7.1 mm,160.5g,3400mAh,microUSB 2.0,6.41" 2340x1080 AMOLED,Dual 12 MP + 13 MP (rear camera) 12 MP (front camera),Under Screen,Yes
Lenovo Z5 Pro GT  (855 version),Snapdragon 855,Octa-core2.8 GHz (1x2.84 GHz + 3x 2.42 GHz + 4x 1.8 GHz Kryo 485),Adreno 640,128 or 256 GB,microSD up to 256 GB,6/8 GB,Android 9.0 "Pie",ZUI 10,155.12 x 73.04 x 9.3 mm,210g,3350 mAh,USB-C18W,6.39" 2340x1080 AMOLED,Dual 16 MP + 24 MP (rear camera) Dual 16 MP + 8 MP (front camera),Under screen,Yes
Oppo R17 Pro,Snapdragon 710,Octa-core (2x2.2 GHz 360 Gold & 6x1.7 GHz Kryo 360 Silver),Adreno 616,128 GB,No,8 GB,Android 8.1 "Oreo",ColorOS 5.2.1,157.6 x 74.6 x 7.9 mm,183g,3700 mAh,USB-C20W（MAX 50WSuper VOOC available）,6.4" 2340x1080 AMOLED,Triple 12 MP + 20 MP + ToF (rear camera) 25MP (front camera),Under screen,Yes
Oppo R17,Snapdragon 670,Octa-core (2x2.0 GHz Kryo 460 Gold – Cortex-A76 derivative + 6x1.7 GHz Kryo 460 Silver – Cortex-A55 derivative),Adreno 615,128 GB,No,6/8 GB,Android 8.1 "Oreo",ColorOS 5.2.1,157.5 x 74.9 x 7.5 mm,182g,3500 mAh,microUSB 2.0,6.4" 2280x1080 AMOLED,Dual 16 MP + 5 MP (rear camera) 25 MP (front camera),Under screen,Yes
Smartisan Pro 2S,Snapdragon 710,Octa-core (2x2.2 GHz 360 Gold & 6x1.7 GHz Kryo 360 Silver),Adreno 616,64/128 GB,No,4/6 GB,Android 8.1 "Oreo",Smartisan OS 6.0,155.3 x 74.1 x 7.15 mm,167g,3600 mAh,USB-C18W,6.01" 2160x1080 AMOLED,Dual 12 MP + 5 MP (rear camera) 16 MP (front camera),Rear-mounted,Yes
Xiaomi Black Shark Helo,Snapdragon 845,Octa-core2.8 GHz,Adreno 630,128/256 GB,No,6/8/10 GB,Android 8.1 "Oreo",Blackshark UI,160 x 75.25 x 8.7 mm,190g,4000 mAh,USB-C,6.01" 2160x1080 AMOLED,Dual 12 MP + 20 MP (rear camera) 20 MP (front camera),Rear-mounted,Yes
Xiaomi Black Shark,Snapdragon 845,Octa-core2.8 GHz,Adreno 630,64/128 GB,No,6/8 GB,Android 8.0 "Oreo",Blackshark UI,161.6 x 75.4 x 9.3 mm,190g,4000 mAh,USB-C,5.99" 2160x1080 AMOLED,Dual 12 MP + 20 MP (rear camera) 20 MP (front camera),Front-mounted,Yes
Smartisan R1,Snapdragon 845,Octa-core2.8 GHz,Adreno 630,64/128/512/1024 GB,No,6/8 GB,Android 8.1 "Oreo",Smartisan OS 6.0,153.3 x 74.5 x 7.9 mm,170g,3600 mAh,USB-C18WWireless10W(MAX),6.17" 2242x1080 AMOLED,Dual 12 MP + 20 MP (rear camera) 24 MP (front camera),Rear-mounted,Yes
ZTE Nubia X,Snapdragon 845,Octa-core2.8 GHz,Adreno 630,128/256/512 GB,No,6/8 GB,Android 8.1 "Oreo",Nubia UI 6,154.1 x 73.3 x 8.4 mm,181g,3800 mAh,USB-C18W,6.26" 2280x1080 LTPS IPS LCD +  5.1" 1520x720 OLED,Dual 16 MP + 24 MP,Dual side-mounted,No
ZTE Nubia Red Magic Mars,Snapdragon 845,Octa-core2.8 GHz,Adreno 630,64/128/256 GB,No,6/8/10 GB,Android 8.1 "Oreo",Redmagic OS 1.6,158.25 x 75 x 9.85 mm,193g,3800 mAh,USB-C16W,6" 2160x1080 LTPS IPS LCD,16 MP (rear camera) 8 MP (front camera),Rear-mounted,No
Vivo Nex Dual Display,Snapdragon 845,Octa-core2.8 GHz,Adreno 630,128 GB,No,10 GB,Android 9.0 "Pie",Funtouch  OS 4.5,157.2 x 75.3 x 8.1 mm,199g,3500 mAh,USB-C18W(MAX22.5W),6.39" 2340x1080 AMOLED +  5.49" 1920x1080 AMOLED,Triple 12 MP + 2 MP + ToF,Under-screen,Yes 3D
Vivo Nex S,Snapdragon 845,Octa-core2.8 GHz,Adreno 630,128 or 256 GB,No,8 GB,Android 8.1 "Oreo",Funtouch OS 4,162 x 77 x 8 mm,199g,4000 mAh,USB-C18W(MAX22.5W),6.59" 2316x1080 AMOLED,Dual 12 MP + 5 MP (rear camera) 8 MP (front camera),Under-screen,No
Oppo Find X,Snapdragon 845,Octa-core2.8 GHz,Adreno 630,128 or 256 GB  512 GB (Lamborghini Edition),No,8 GB,Android 8.1 "Oreo",ColorOS 5.1,156.7 x 74.2 x 9.4 mm,186g,3730 mAh  3400 mAh (Super Flash Edition),USB-C20W（MAX 50WSuper VOOC）,6.42" 2340x1080 AMOLED,Dual 16 MP + 20 MP (rear camera) 25 MP (front camera),No,Yes 3D
Xiaomi Mi MIX 3,Snapdragon 845,Octa-core2.8 GHz,Adreno 630,128 or 256 GB,No,6/8/10 GB,Android 9.0 "Pie",MIUI 10,157.9 x 74.7 x 8.5 mm,218g,3200 mAh,USB-C18WWireless10W,6.39" 2340x1080 AMOLED,Dual 12 MP (rear camera) Dual 24 MP + 2 MP (front camera),Rear-mounted,Yes
Xiaomi Mi 8,Snapdragon 845,Octa-core CPU4x2.8 GHz Kryo 385 Gold + 4x1.8 GHz Kyro 385 Silver,Adreno 630,64/128/256 GB,No,6/8 GB LPDDR4X,Android 9.0 "Pie",MIUI 10,154.9 x 74.8 x 7.6 mm,175g,3400 mAh,USB-C18W,6.21" 2248x1080 AMOLED,Dual 12 MP (rear camera) 20 MP (front camera),Rear-mounted,Yes IR
Xiaomi Mi 8 SE,Snapdragon 710,Octa-core (2x2.2 GHz 360 Gold & 6x1.7 GHz Kryo 360 Silver),Adreno 616,64/128 GB,No,4/6 GB LPDDR4X,Android 9.0 "Pie",MIUI 10,147.28 x 73.09 x 7.5 mm,164g,3120 mAh,USB-C18W,5.88" 2244x1080 AMOLED,Dual 12 MP + 5 MP (rear camera) 20 MP (front camera),Rear-mounted,No
Xiaomi Mi MIX 2S,Snapdragon 845,Octa-core CPU4x2.8 GHz Kryo 385 Gold + 4x1.8 GHz Kyro 385 Silver,Adreno 630,64/128/256 GB,No,6/8 GB LPDDR4X,Android 9.0 "Pie",MIUI 10,150.86 x 74.9 x 8.1 mm,189g,3400 mAh Li-Ion,USB-C18WWireless7.5W,5.99" 2160x1080 IPS LCD,Dual 12 MP (rear camera) 5 MP (front camera),Rear-mounted,Yes
Meizu 16th/16th Plus,Snapdragon 845,Octa-core CPU4x2.8 GHz Kryo 385 Gold + 4x1.8 GHz Kyro 385 Silver,Adreno 630,64 GB (16th) 128 GB (both) 256 GB (16th Plus),No,6/8 GB LPDDR4X (both),Android 8.1 "Oreo",Meizu Flyme OS,16th:150.5 x 73.2 x 7.3 mm16th Plus:160.4 x 78.2 x 7.3 mm,16th:152g16th Plus:182g,16th:3010 mAh Li-Po16th Plus:3570 mAh Li-Po,USB-C mCharge 4.0 24W,16th : 6" 2160x1080 AMOLED16th Plus: 6.5" 2160x1080 AMOLED,Dual 12 MP + 20 MP (rear camera) 20 MP (front camera),Under screen,Yes
Apple iPhone XS/XS Max,Apple A12 Bionic,Hexa-core(2x2.49 GHzVortex & 4x? GHz Tempest) ,Apple-designed GPU (4-core),64 256 or 512 GB,No,4 GB LPDDR4X,iOS 12,N/A,XS:143.6 x 70.9 x 7.7 mmXS Max:157.5 x 77.4 x 7.7 mm,XS:177gXS Max: 208g,XS: 2658 mAhXS Max: 3174 mAh,Lightning≥18WWireless,XS: 5.8” 2436x1125 Super Retina OLEDXS Max: 6.5" 2688x1242 Super Retina OLED,Dual 12 MP (rear) 7 MP TrueDepth (front camera),No,Yes 3D
Apple iPhone XR,Apple A12 Bionic,Hexa-core(2x2.49 GHzVortex & 4x? GHz Tempest) ,Apple-designed GPU (4-core),64 128 or 256 GB,No,3 GBLPDDR4X,iOS 12,N/A,150.9 x 75.7 x 8.3 mm,194g,2942 mAh,Lightning≥18WWireless,6.1” 1792x828 Liquid Retina IPS LCD,12 MP (rear camera) 7 MP TrueDepth (front camera),No,Yes 3D
Huawei Honor Magic 2,Kirin 980,Octa-core2.6 GHz,Mali-G76 MP10,128 or 256 GB,No,6/8 GB,Android 9.0 "Pie",Huawei EMUI 9 or Magic UI 2,157.3 x 75.1 x 8.3 mm,206g,3500 mAh,USB-C18W(MAX40W),6.39" 2340x1080 AMOLED,Triple 16 MP + 16 MP + 24 MP (rear camera) Triple 16 MP + 2 MP + 2 MP (front camera),Under-screen,Yes
Huawei Mate 20/Mate 20 Pro,Kirin 980,Octa-core2.6 GHz,Mali-G76 MP10,128 GB (both) or 256 GB (Mate 20 Pro),up to 256 GB,Mate 20: 4/6 GBMate 20 Pro: 6/8 GB,Android 9.0 "Pie",EMUI 9,Mate 20:158.2 x 77.2 x 8.3 mmMate 20 Pro:157.8 x 72.3 x 8.6 mm,Mate 20: 188gMate 20 Pro: 189g,Mate 20: 4000 mAhMate 20 Pro: 4200 mAh,USB-C 18W/22.5W  Wireless charging,Mate 20: 6.53" 2244x1080 IPS LCDMate 20 Pro: 6.39" 3120x1440 AMOLED,Mate 20: Triple 12 MP + 16  MP + 8 MP (rear camera) 24 MP (front camera)Mate 20 Pro: Triple 40 MP + 20 MP + 8 MP (rear camera) 24 MP (front camera),Mate 20: Rear-mountedMate 20 Pro: Under screen,Mate 20: YesMate 20 Pro: Yes 3D
Huawei Mate 20 X,Kirin 980,Octa-core2.6 GHz,Mali-G76 MP10,128 GB,up to 256 GB,6 GB,Android 9.0 "Pie",EMUI 9,174.6 x 85.4 x 8.2 mm,232g,5000 mAh,USB-C 18W/22.5W  Wireless charging,7.2" 2244x1080 AMOLED,Triple 40 MP + 20 MP + 8 MP (rear camera) 24 MP (front camera),Rear-mounted,Yes
Huawei P20/P20 Pro,Kirin 970,Octa-core (4x2.4 GHz Cortex-A73 & 4x1.8 GHz Cortex-A53),Mali-G72 MP12,64 or 128 GB,No,P20: 4 GBP20 Pro: 6 GB,Android 9.0 "Pie",Huawei EMUI,P20:149.1 x 70.8 x 7.7 mmP20 Pro:155 x 73.9 x 7.8 mm,P20: 165gP20 Pro: 180g,P20: 3400 mAhP20 Pro: 4000 mAh,USB-C18W,P20: 5.84" 2240x1080 LTPS IPS LCDP20 Pro: 6.1" 2240x1080 AMOLED,P20: Dual 20 MP + 12  MP (rear camera) 24 MP (front camera)P20 Pro: Triple 40 MP + 20 MP + 8 MP (rear camera) 24 MP (front camera),Front-mounted,Yes
Meizu mblu E3,Snapdragon 636,Octa-core (4x1.8 GHz Kryo 260 Gold – Cortex-A73 derivative +4x 1.6 GHz Kryo 260 Silver – Cortex-A53 derivative),Adreno 509,64 or 128 GB(J-20 Edition),microSD up to 128 GB,6 GB,Android 7.1.2 "Nougat",Meizu Flyme OS,156.8 x 75 x 7.6 mm,160g,3360mAh,USB-C20W,5.99" 2160x1080 LCD,Dual 12 MP + 20 MP (rear camera) 8 MP (front camera),side-mounted,Yes
Samsung Galaxy S9/S9+,Snapdragon 845Exynos 9810,Octa-core2.8 GHzOcta-core2.7 GHz,Adreno 630Mali-G72 MP18,64 128 or 256 GB,microSD up to 400 GB,S9: 4 GBS9+: 6 GB,Android 8.0 "Oreo",Samsung Experience 9.0,S9:147.7 × 68.7 × 8.5 mmS9+:158.1 × 73.8 × 8.5 mm,S9: 163gS9+:189g,S9: 3000 mAhS9+: 3500 mAh,USB-C,S9: 5.8" 2960×1440 AMOLEDS9+: 6.2" 2960×1440 AMOLED,S9: 12 MP (rear camera) 8  MP (front camera)S9+: Dual 12 MP (rear camera) 8  MP (front camera),Rear-mounted,Yes IR
Samsung Galaxy A8/A8+,Exynos 7885,Octa-core2.2 GHz,Mali-G71,32 GB or 64 GB,microSD up to 256 GB,A8: 4 GBA8+: 4/6 GB,Android 8.0 "Oreo",Samsung Experience 9.0,A8: 149.2 x 70.6 x 8.4 mmA8+:159.9 x 75.7 x 8.3 mm,A8: 172gA8+:191g,A8: 3000 mAhA8+: 3500 mAh,USB-C,A8: 5.6" 2220x1080 AMOLEDA8+: 6" 2220×1080 AMOLED,16 MP (rear camera) 16 MP + 8 MP (front camera),Rear-mounted,No
Samsung Galaxy A8s,Snapdragon 710,Octa-core (2x2.2 GHz 360 Gold & 6x1.7 GHz Kryo 360 Silver),Adreno 616,128 GB,microSD up to 512 GB,6/8 GB,Android 9.0 "Pie",Samsung Experience 9.0,158.4 x 74.9 x 7.4 mm,173g,3400 mAh,USB-C,6.4" 2340x1080 IPS LCD,Triple 24 MP + 10 MP + 5 MP (rear camera) 24 MP (front camera),Rear-mounted,Yes
Samsung Galaxy Note 9,Snapdragon 845Exynos 9810,Octa-core2.8 GHzOcta-core2.7 GHz,Adreno 630Mali-G72 MP18,128 GB or 512 GB,microSD up to 512 GB,6/8 GB,Android 8.1 "Oreo",Samsung Experience 9.0,161.9 x 76.4 x 8.8 mm,201g,4000 mAh,USB-C,6.4" 2960×1440 AMOLED,Dual 12 MP (rear camera) 8  MP (front camera),Rear-mounted,Yes IR
Google Pixel 3/Pixel 3 XL,Snapdragon 845,Octa-core2.5 GHz,Adreno 630,64 GB or 128 GB,No,4 GB,Android 9.0 "Pie",-,Pixel 3:145.6 × 68.2 × 7.9 mmPixel 3 XL:158 × 76.7 × 7.9 mm,Pixel 3: 148gPixel 3 XL: 184g,Pixel 3: 2915 mAhPixel 3 XL: 3430 mAh,-,Pixel 3: 5.5" 2160×1080 AMOLEDPixel 3 XL: 6.3" 2960×1440 AMOLED,12.2 MP (rear camera) Dual 8 MP (front camera),Rear-mounted,No
HTC U12+,Snapdragon 845,Octa-core2.8 GHz,Adreno 630,64 GB or 128 GB,microSD up to 512 GB,6 GB,Android 8.0 "Oreo",HTC Sense 10,156.6 x 73.9 x 8.7 mm,188g,3500 mAh,-,6" 2880×1440 LCD,Dual 12 MP + 16 MP (rear camera) Dual 8 MP (front camera),Rear-mounted,Yes
Nokia 8 Sirocco,Snapdragon 835,Octa-core2.45 GHz,Adreno 540,128 GB,No,6 GB,Android 8.0 "Oreo",Android One,140.9 x 73 x 7.5 mm,177g,3260 mAh,USB-C,5.5" 2560x1440 P-OLED,Dual 12 MP + 13 MP (rear camera) 5 MP (front camera),Rear-mounted,No
LG G7 ThinQ,Snapdragon 845,Octa-core2.8 GHz,Adreno 630,64 GB or 128 GB,microSD up to 512 GB,4/6 GB,Android 8.0 "Oreo",LG UX,153.2 x 71.9 x 7.9 mm,162g,3000 mAh,-,6.1" 3120x1440 LCD,Dual 16 MP (rear camera) 8 MP (front camera),Rear-mounted,Yes
LG V40 ThinQ,Snapdragon 845,Octa-core2.8 GHz,Adreno 630,64 GB or 128 GB,microSD up to 512 GB,6 GB,Android 8.1 "Oreo",LG UX,158.8 x 75.7 x 7.6 mm,169g,3300 mAh,-,6.4" 3120x1440 P-OLED,Triple 12 MP + 12 MP + 16 MP (rear camera) Dual 8 MP + 5 MP (front camera),Rear-mounted,Yes
Huawei  Nova 4,Kirin 970,Octa-core2.4 GHz,Mali-G72 MP12,128 GB,microSD up to 512 GB,8 GB,Android 9.0 "Pie",Huawei EMUI,157 x 75.1 x 7.8 mm,172g,3750 mAh,-,6.4" 2310x1080 IPS LCD,Triple 48 MP + 16 MP + 2 MP (rear camera) 25 MP (front camera),Rear-mounted,Yes
Huawei Honor 10,Kirin 970,Octa-core2.4 GHz,Mali-G72 MP12,64 GB or 128 GB,No,4/6 GB  8 GB (GT),Android 8.1 "Oreo",Huawei EMUI,149.6 x 71.2 x 7.7 mm,153g,3400 mAh,-,5.84" 2280x1080 IPS LCD,Dual 16 MP + 24 MP (rear camera) 24 MP (front camera),Front-mounted,Yes
Huawei Honor View 10,Kirin 970,Octa-core2.4 GHz,Mali-G72 MP12,64 GB or 128 GB,microSD up to 256 GB,4/6 GB,Android 9.0 "Pie",Huawei EMUI,157 x 75 x 7 mm,172g,3750 mAh,-,5.99" 2160x1080 LTPS IPS LCD,Dual 16 MP + 20 MP (rear camera) 13 MP (front camera),Front-mounted,Yes
Huawei Honor View 20,Kirin 980,Octa-core2.6 GHz,Mali-G76 MP10,128 GB or 256 GB,No,6/8 GB,Android 9.0 "Pie",Huawei EMUI,156.9 x 75.4 x 8.1 mm,180g,4000 mAh,-,6.4" 2310x1080 IPS LCD,Dual 48 MP + ToF 3D stereo (rear camera) 25 MP (front camera),Rear-mounted,Yes
Blackberry Evolve/Evolve X,Snapdragon 450 (Evolve) Snapdragon 660 (Evolve X),Octa-core 1.8 GHz (Evolve) Octa-core 2.2 GHz (Evolve X),Adreno 506 (Evolve)  Adreno 512 (Evolve X),64 GB,microSD up to 256 GB ,4 GB (Evolve)  6 GB (Evolve X),Android 8.1 "Oreo",-,158.9 x 76.1 x 8.4 mm (Evolve)  159.1 x 76.8 x 8.8 mm (Evolve X),170g,4000 mAh,-,5.99" 2160x1080 IPS LCD,Dual 13 MP (Evolve)  Dual 12 MP + 13 MP (Evolve X),Rear-mounted,Yes
Blackberry Key2,Snapdragon 660,Octa-core2.2 GHz,Adreno 512,64 GB or 128 GB,microSD up to 256 GB,6 GB,Android 8.1 "Oreo",-,151.4 x 71.8 x 8.5 mm,168g,3500 mAh,-,4.5" 1620x1080 IPS LCD,Dual 12 MP (rear camera) 8 MP (front camera),Front-mounted,No
Sony Xperia XZ2 Premium,Snapdragon 845,Octa-core2.8 GHz,Adreno 630,64 GB,microSD up to 512 GB,6 GB,Android 9.0 "Pie",-,158 x 80 x 11.9 mm,236g,3540 mAh,-,5.8" 3840x2160 IPS LCD,Dual 19 MP + 12 MP (rear camera) 13 MP (front camera),Rear-mounted,Yes
Sony Xperia XZ3,Snapdragon 845,Octa-core2.7 GHz,Adreno 630,64 GB,microSD up to 512 GB ,4 GB 6 GB (Taiwan only),Android 9.0 "Pie",-,158 x 73 x 9.9 mm,193g,3300 mAh,-,6" 2880x1440 P-OLED,19 MP (rear camera) 13 MP (front camera),Rear-mounted,Yes
Sony Xperia XZ2 Compact,Snapdragon 845,Octa-core2.7 GHz,Adreno 630,64 GB,microSD up to 512 GB ,4 GB,Android 8.0 "Oreo",-,135 x 65 x 12.1 mm,168g,2870 mAh,-,5" 2160x1080 IPS LCD,19 MP (rear camera) 5 MP (front camera),Rear-mounted,No
OnePlus 6T,Snapdragon 845,Octa-core CPU4x2.8 GHz Kryo 385 Gold + 4x1.7 GHz Kyro 385 Silver,Adreno 630,128 or 256 GB,No,6/8 GB  10 GB LPDDR4X (McLaren edition),Android 9.0 "Pie",Oxygen OS,157.5 x 74.8 x 8.2 mm,185g,3700 mAh,-,6.41" 2340x1080 AMOLED,Dual 16 MP + 20 MP (rear camera) 16 MP (front camera),Under screen,Yes
